公司全名,公司简称,公司规模,公司行业,职位性质,工作地址,薪资待遇,职位名称,工作经验,工作区域,职位福利,学历要求
北京中公教育科技股份有限公司,中公教育,2000人以上,教育,全职,六道口,20k-30k,Python讲师,3-5年,海淀区,"['五险一金', '年终奖金', '绩效奖金', '岗位晋升']",本科
北京一览科技有限公司,一览科技,150-500人,"移动互联网,文化娱乐",全职,来广营,20k-40k,python开发工程师,3-5年,朝阳区,"['股票期权', '弹性工作', '领导好', '扁平管理']",本科
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,"电子商务,O2O",全职,国贸,15k-25k,python开发工程师,5-10年,朝阳区,"['年底双薪', '带薪年假', '弹性工作', '扁平管理']",大专
北京刷刷看网络科技有限公司,刷刷看,150-500人,"移动互联网,社交网络",全职,东风北桥,15k-30k,Python工程师,1-3年,朝阳区,"['股票期权', '绩效奖金', '五险一金', '带薪年假']",本科
北京棕榈创想科技有限公司,PALMAX,50-150人,移动互联网,全职,上地,15k-25k,Python开发工程师,3-5年,海淀区,"['绩效奖金', '交通补助', '定期体检', '午餐补助']",本科
北京粉笔蓝天科技有限公司,粉笔网,150-500人,"移动互联网,教育",全职,望京东,25k-40k,Python开发工程师,1-3年,朝阳区,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",本科
北京仁信智清科技有限公司,智清金科,15-50人,"人工智能,企业服务",全职,,20k-35k,Python,不限,海淀区,"['弹性工作', '领导好', '扁平管理', '专项奖金']",本科
北京来也网络科技有限公司,助理来也,50-150人,移动互联网,全职,五道口,20k-40k,Python开发工程师,3-5年,海淀区,"['绩效奖金', '扁平管理', '领导好', '五险一金']",本科
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,"金融,数据服务",全职,国贸,40k-60k,Python,3-5年,朝阳区,"['股票期权', '带薪年假', '扁平管理', '定期体检']",本科
北京贝斯平云科技有限公司,Bespin,150-500人,不限,全职,望京东,15k-30k,Python开发工程师—CI/CD方向,3-5年,朝阳区,"['扁平管理', '技能培训', '云计算', '国际化']",本科
北京雷石世纪科技有限公司,北京雷石公司,150-500人,"移动互联网,企业服务",全职,北苑路北,15k-30k,Python工程师,3-5年,朝阳区,"['节日礼物', '专项奖金', '带薪年假', '绩效奖金']",本科
北京智融时代信息技术有限公司,智融集团,150-500人,金融,全职,西土城,25k-45k,高级Python开发工程师,3-5年,海淀区,"['股票期权', '绩效奖金', '五险一金', '带薪年假']",本科
上海栗德机电工程技术有限公司,上海栗德机电工程技术有限公司,150-500人,信息安全,全职,海淀黄庄,20k-40k,Python开发工程师,5-10年,海淀区,[],本科
上海福萝电子科技有限公司,Cobo Wallet,15-50人,移动互联网 信息安全,全职,望京南,30k-60k,"Python, nodejs，golang工程师",3-5年,朝阳区,"['年底双薪', '专项奖金', '股票期权', '午餐补助']",本科
北京字节跳动科技有限公司,字节跳动,2000人以上,"移动互联网,数据服务",全职,,25k-45k,Python 研发工程师,3-5年,海淀区,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",本科
北京蚂蜂窝网络科技有限公司,马蜂窝,500-2000人,"移动互联网,旅游",全职,望京南,20k-30k,python开发工程师 (MJ000414),1-3年,朝阳区,"['弹性工作', '扁平管理', '氛围好', '年度体检']",不限
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,"移动互联网,教育",全职,西土城,20k-40k,python后台工程师,3-5年,海淀区,"['弹性工作', '扁平管理', '领导好', '五险一金']",本科
北京南天软件有限公司,南软,500-2000人,金融,全职,五道口,10k-18k,Python开发工程师,3-5年,海淀区,"['交通补助', '午餐补助', '带薪年假', '年底双薪']",本科
上海裕木信息科技有限公司,裕木科技,50-150人,金融 企业服务,全职,亮马桥,35K-70K,资深python工程师,5-10年,朝阳区,"['""""']",本科
深圳市麦达数字股份有限公司,麦达数字,500-2000人,"企业服务,数据服务",全职,望京东,25k-35k,PYTHON研发工程师,3-5年,朝阳区,"['股票期权', '绩效奖金', '带薪年假', '定期体检']",本科
便利蜂商贸有限公司,便利蜂,2000人以上,"移动互联网,生活服务",全职,望京南,25k-40k,python工程师(J11548),3-5年,朝阳区,"['弹性工作', '美女多', '帅哥多', '领导好']",本科
小叶子（北京）科技有限公司,The ONE,500-2000人,"硬件,教育",全职,南楼梓庄,20k-30k,Python开发工程师,3-5年,朝阳区,"['优秀团队', '技术大牛多', '五险一金', '弹性工作']",本科
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,移动互联网,全职,五道口,35k-60k,Python架构师,5-10年,海淀区,"['带薪年假', '定期体检', '文化open', '扁平化管理']",本科
上海一起作业信息科技有限公司,一起科技,500-2000人,"移动互联网,教育",全职,望京东,25k-50k,python高级开发工程师（技术）,3-5年,朝阳区,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",本科
成都联想软件有限公司,联想,500-2000人,数据服务,全职,,30k-60k,python工程师,3-5年,海淀区,[],本科
北京慕华信息科技有限公司,学堂在线,150-500人,"移动互联网,教育",全职,五道口,15k-25k,Python工程师,3-5年,海淀区,"['节日礼物', '股票期权', '带薪年假', '氛围轻松']",本科
北京金山云网络技术有限公司,金山云,500-2000人,"移动互联网,数据服务",全职,上地,10k-15k,校招-Python/Golang研发工程师,不限,海淀区,"['技能培训', '节日礼物', '瑜伽房', '免费班车']",本科
北京格上添富科技发展有限公司,格上添富,150-500人,"移动互联网,金融",全职,团结湖,20k-35k,高级Python研发工程师,5-10年,朝阳区,"['绩效奖金', '带薪年假', '午餐补助', '定期体检']",本科
北京汇行科技有限公司,妙计旅行,150-500人,旅游,全职,安定门,10k-20k,Python开发工程师,1-3年,东城区,"['股票期权', '十四薪', '零食饮料水果', '团队氛围好']",本科
无锡信成网络科技有限公司,黑牛保,15-50人,"移动互联网,金融",全职,荣京东街,15k-20k,python开发工程师,5-10年,大兴区,"['扁平管理', '弹性工作', '绩效奖金', '通讯津贴']",本科
三只肥猴（北京）信息技术有限公司,三只肥猴,少于15人,"信息安全,文化娱乐",全职,白堆子,7k-10k,Python工程师,1-3年,海淀区,"['""""']",本科
北京金色华勤数据服务有限公司,金色华勤,50-150人,"移动互联网,企业服务",全职,经海路,10k-15k,Python开发工程师,不限,大兴区,"['技能培训', '股票期权', '带薪年假', '管理规范']",本科
北京国双科技有限公司,Gridsum 国双,500-2000人,"数据服务,企业服务",全职,知春路,15k-25k,Python研发工程师,1-3年,海淀区,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",本科
北京旷视科技有限公司,Face++,500-2000人,"移动互联网,硬件",全职,五道口,25k-50k,python高级后端工程师,5-10年,海淀区,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",本科
中电信用服务有限公司,中电信用,50-150人,"移动互联网,金融",全职,国家图书馆,15k-25k,Python工程师,5-10年,海淀区,"['绩效奖金', '带薪年假', '股票期权', '午餐补助']",本科
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,"金融,数据服务",全职,国贸,20k-25k,python研发工程师,1-3年,朝阳区,"['股票期权', '带薪年假', '扁平管理', '定期体检']",本科
上海微创软件股份有限公司北京分公司,微创,2000人以上,"移动互联网,电子商务",全职,马连洼,10k-13k,Python开发,不限,海淀区,"['年底双薪', '绩效奖金', '免费班车', '节日礼物']",本科
北京智水互娱科技有限公司,智水互娱,15-50人,游戏,全职,崇文门,20k-40k,Python开发工程师,1-3年,东城区,[],大专
上海诺誉投资管理有限公司,诺誉投资,150-500人,"移动互联网,金融",全职,育新,20k-25k,高级python研发工程师,5-10年,海淀区,"['""""']",本科
北京智者天下科技有限公司,知乎,500-2000人,"移动互联网,社交网络",全职,六道口,20k-40k,Python开发,1-3年,海淀区,"['年底双薪', '股票期权', '带薪年假', '定期体检']",本科
北京市商汤科技开发有限公司,商汤科技,2000人以上,移动互联网,全职,五道口,20k-40k,算法开发工程师（Python）,1-3年,海淀区,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",本科
北京三快在线科技有限公司,美团点评,2000人以上,"移动互联网,O2O",全职,阜通,35k-45k,服务端高级开发工程师Golang/Python,3-5年,朝阳区,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",本科
北京快乐茄信息技术有限公司,茄子快传,150-500人,移动互联网,全职,,15k-30k,python开发工程师,1-3年,海淀区,"['技能培训', '领导好', '美女多', '帅哥多']",本科
北京车之家信息技术有限公司,汽车之家,2000人以上,"移动互联网,文化娱乐",全职,海淀黄庄,15k-25k,python工程师,3-5年,海淀区,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",本科
北京雷石世纪科技有限公司,北京雷石公司,150-500人,"移动互联网,企业服务",全职,北苑路北,10k-20k,Python工程师,1-3年,朝阳区,"['节日礼物', '专项奖金', '带薪年假', '绩效奖金']",大专
北京墨迹风云科技股份有限公司,墨迹天气,150-500人,"移动互联网,生活服务",全职,望京南,15k-25k,Python开发工程师,3-5年,朝阳区,"['六险一金', '绩效奖金', '带薪年假', '年底双薪']",本科
北京旷视科技有限公司,Face++,500-2000人,"移动互联网,硬件",全职,五道口,25k-50k,Python后端工程师,3-5年,海淀区,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",本科
上海微创软件股份有限公司北京分公司,微创,2000人以上,"移动互联网,电子商务",全职,海淀黄庄,10k-15k,python开发工程师-赴微软,1-3年,海淀区,"['年底双薪', '绩效奖金', '免费班车', '节日礼物']",本科
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,"金融,数据服务",全职,国贸,15k-30k,Python,1-3年,朝阳区,"['股票期权', '带薪年假', '扁平管理', '定期体检']",本科
TCL集团股份有限公司,TCL互联网事业本部,150-500人,移动互联网,全职,长春桥,12k-20k,python 开发工程师,1-3年,海淀区,[],本科
云孚科技（北京）有限公司,云孚科技,15-50人,"企业服务,移动互联网",全职,西二旗,6k-12k,Python研发工程师,不限,海淀区,"['年底双薪', '股票期权', '绩效奖金', '年终分红']",本科
北京趣拿软件科技有限公司,去哪儿网,2000人以上,移动互联网,全职,海淀黄庄,20k-40k,Python高级研发工程师-度假事业部(J11528),3-5年,海淀区,"['技能培训', '节日礼物', '带薪年假', '无息住房贷款']",本科
北京百乘传媒技术有限公司,百乘传媒,15-50人,不限,全职,惠新西街北口,18k-30k,高级Python工程师,5-10年,朝阳区,"['""""']",本科
百融金融信息服务股份有限公司,百融金服,500-2000人,"金融,数据服务",全职,五道口,20k-30k,高级python开发工程师,3-5年,海淀区,"['技能培训', '股票期权', '带薪年假', '定期体检']",本科
会找房（北京）网络技术有限公司,会分期,150-500人,移动互联网、金融,全职,西二旗,15k-30k,Python开发工程师(J10100),3-5年,海淀区,"['节日礼物', '股票期权', '带薪年假', '年度旅游']",大专
上海理想信息产业（集团）有限公司,理想公司,150-500人,"金融,数据服务",全职,,15k-25k,云计算python研发工程师,3-5年,海淀区,"['技能培训', '免费班车', '带薪年假', '绩效奖金']",本科
北京第三石科技发展有限公司,第三石科技,50-150人,"移动互联网,电子商务",全职,望京东,15k-30k,Python开发工程师,3-5年,朝阳区,"['股票期权', '交通补助', '带薪年假', '扁平管理']",本科
北京智融时代信息技术有限公司,智融集团,150-500人,金融,全职,西土城,25k-40k,高级Python开发工程师,3-5年,海淀区,"['股票期权', '绩效奖金', '五险一金', '带薪年假']",本科
美景听听（北京）科技有限公司,美景听听App,15-50人,"移动互联网,旅游",全职,车公庄西,15k-30k,Python高级开发工程师,3-5年,西城区,"['绩效奖金', '领导好', '弹性工作', '年度旅游']",本科
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,"电子商务,O2O",全职,国贸,15k-20k,高级零售系统工程师 （Python工程师）,5-10年,朝阳区,"['年底双薪', '带薪年假', '弹性工作', '扁平管理']",本科
安一恒通（北京）科技有限公司,度小满金融,500-2000人,"移动互联网,金融",全职,西二旗,15k-30k,Python工程师,1-3年,海淀区,"['年底双薪', '五险一金', '弹性工作', '节日礼物']",本科
上海微创软件股份有限公司北京分公司,微创,2000人以上,"移动互联网,电子商务",全职,海淀黄庄,8k-10k,Python工程师-赴微软小冰,1-3年,海淀区,"['年底双薪', '绩效奖金', '免费班车', '节日礼物']",本科
北京智者天下科技有限公司,知乎,500-2000人,"移动互联网,社交网络",全职,六道口,20k-35k,Python 3 开发 (MJ000552),1-3年,海淀区,"['年底双薪', '股票期权', '带薪年假', '定期体检']",本科
北京慕华信息科技有限公司,学堂在线,150-500人,"移动互联网,教育",全职,五道口,15k-25k,Python工程师,3-5年,海淀区,"['节日礼物', '股票期权', '带薪年假', '氛围轻松']",本科
北京大米未来科技有限公司,VIPKID,2000人以上,教育,全职,,18k-35k,Python开发工程师,3-5年,朝阳区,"['绩效奖金', '股票期权', '五险一金', '带薪年假']",本科
北京贝斯平云科技有限公司,Bespin,150-500人,不限,全职,望京东,20k-40k,高级Python开发工程师—CI/CD方向,3-5年,朝阳区,"['扁平管理', '技能培训', '云计算', '国际化']",本科
北京源石智影科技有限公司,智影,50-150人,"移动互联网,数据服务",全职,化工,15k-20k,python开发工程师,1-3年,朝阳区,"['专项奖金', '股票期权', '绩效奖金', '年终分红']",本科
西门子（中国）有限公司,西门子（中国）,2000人以上,"医疗健康,硬件",实习,望京南,2k-4k,Python Web 软件开发实习生,应届毕业生,朝阳区,"['带薪年假', '绩效奖金', '年度旅游', '美女多']",硕士
北京闪银奇异科技有限公司,闪银奇异,500-2000人,"移动互联网,金融",全职,,18k-35k,Python开发工程师,1-3年,朝阳区,"['13~15薪', '晋升空间大', '定期体检', '能力定薪']",本科
颐邦（北京）医院管理有限公司,颐邦科技,少于15人,"医疗健康,硬件",全职,五道口,15k-25k,Python研发工程师,1-3年,海淀区,"['""""']",本科
上海诚信互通网络信息科技有限公司,诚信互通,150-500人,"移动互联网,企业服务",全职,海淀黄庄,15k-30k,Python研发工程师,3-5年,海淀区,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",大专
联想（北京）有限公司,联想集团,2000人以上,"移动互联网,数据服务",全职,上地,10k-15k,Python 开发,1-3年,海淀区,"['技能培训', '待遇优厚', '晋升空间', '五险一金']",本科
北京旷视科技有限公司,Face++,500-2000人,"移动互联网,硬件",全职,五道口,25k-50k,高级Python后端工程师,3-5年,海淀区,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",本科
北京智胜新格科技有限公司,北京智胜新格科技有限公司,50-150人,"移动互联网,游戏",全职,五道口,15k-30k,Python开发,1-3年,海淀区,"['绩效奖金', '定期体检', '弹性工作', '扁平管理']",本科
柳州道无尽科技有限公司,柳州道无尽科技有限公司,15-50人,"电子商务,企业服务",全职,太阳宫,18k-28k,Python工程师,3-5年,朝阳区,"['""""']",本科
非凡维格（北京）信息科技有限公司,Weego Travel,15-50人,旅游,全职,国贸,25k-50k,Python高级工程师-服务器端,3-5年,朝阳区,"['股票期权', '带薪年假', '美女多', '弹性工作']",本科
